,member_ID,order_ID,name,collected?,order_requests,deposits,delivery_date,order_request_value
0,1,3,XXX,True,"{'3': {'filled': '1.0', 'ordered': '1.0'}, '62': {'filled': '0', 'ordered': '3.0'}, '66': {'filled': '6.0', 'ordered': '6.0'}, '67': {'filled': '2.0', 'ordered': '2.0'}, '75': {'filled': '0', 'ordered': '1.0'}, '76': {'filled': '1.0', 'ordered': '1.0'}, '82': {'filled': '3.0', 'ordered': '3.0'}, '121': {'filled': '2.0', 'ordered': '2.0'}, '138': {'filled': '1.0', 'ordered': '1.0'}, '197': {'filled': '1.0', 'ordered': '1.0'}, '205': {'filled': '3', 'ordered': '2.0'}, '206': {'filled': '2', 'ordered': '2.0'}, '212': {'filled': '6.0', 'ordered': '6.0'}, '267': {'filled': '2.0', 'ordered': '2.0'}, '270': {'filled': '0', 'ordered': '1.0'}}",,2020-02-20,57.44
1,2,3,XXX,True,"{'40': {'filled': '1.0', 'ordered': '1.0'}, '138': {'filled': '1.0', 'ordered': '1.0'}, '163': {'filled': '1.0', 'ordered': '1.0'}, '228': {'filled': '1.0', 'ordered': '1.0'}, '238': {'filled': '2.0', 'ordered': '2.0'}, '268': {'filled': '0', 'ordered': '2.0'}, '272': {'filled': '0', 'ordered': '2.0'}}",,2020-02-20,14.85
2,3,3,XXX,True,"{'3': {'filled': '2.0', 'ordered': '2.0'}, '25': {'filled': '0', 'ordered': '1.0'}, '40': {'filled': '1.0', 'ordered': '1.0'}, '59': {'filled': '4.0', 'ordered': '4.0'}, '75': {'filled': '0', 'ordered': '2.0'}, '76': {'filled': '2.0', 'ordered': '2.0'}, '106': {'filled': '0', 'ordered': '2.0'}, '115': {'filled': '1.0', 'ordered': '1.0'}, '117': {'filled': '1.0', 'ordered': '1.0'}, '121': {'filled': '1.0', 'ordered': '1.0'}, '163': {'filled': '2.0', 'ordered': '2.0'}, '205': {'filled': '4.0', 'ordered': '4.0'}, '238': {'filled': '2.0', 'ordered': '2.0'}, '267': {'filled': '2.0', 'ordered': '2.0'}, '274': {'filled': '1.0', 'ordered': '1.0'}, '277': {'filled': '2.0', 'ordered': '2.0'}}",,2020-02-20,63.23
3,7,3,XXX,True,"{'3': {'filled': '1.0', 'ordered': '1.0'}, '27': {'filled': '1.0', 'ordered': '1.0'}, '197': {'filled': '1.0', 'ordered': '1.0'}}",,2020-02-20,8.53
4,9,3,XXX,True,"{'3': {'filled': '2.0', 'ordered': '2.0'}, '40': {'filled': '1.0', 'ordered': '1.0'}, '75': {'filled': '0', 'ordered': '2.0'}, '76': {'filled': '1.0', 'ordered': '1.0'}, '82': {'filled': '1.0', 'ordered': '1.0'}, '84': {'filled': '2.0', 'ordered': '2.0'}, '117': {'filled': '4.0', 'ordered': '4.0'}, '138': {'filled': '1.0', 'ordered': '1.0'}, '139': {'filled': '2.0', 'ordered': '2.0'}, '205': {'filled': '2.0', 'ordered': '2.0'}, '215': {'filled': '4.0', 'ordered': '4.0'}, '228': {'filled': '2.0', 'ordered': '2.0'}, '259': {'filled': '1.0', 'ordered': '1.0'}, '267': {'filled': '0.0', 'ordered': '1.0'}, '268': {'filled': '0', 'ordered': '2.0'}, '277': {'filled': '2.0', 'ordered': '2.0'}, '279': {'filled': '1.0', 'ordered': '1.0'}}",,2020-02-20,64.91
5,10,3,XXX,True,"{'211': {'filled': '1.0', 'ordered': '1.0'}, '247': {'filled': '0', 'ordered': '1.0'}, '259': {'filled': '1.0', 'ordered': '1.0'}, '279': {'filled': '1.0', 'ordered': '1.0'}}",,2020-02-20,4.14
6,12,3,XXX,True,"{'59': {'filled': '2.0', 'ordered': '2.0'}, '62': {'filled': '0', 'ordered': '2.0'}, '75': {'filled': '0', 'ordered': '4.0'}, '76': {'filled': '1.0', 'ordered': '1.0'}, '82': {'filled': '2.0', 'ordered': '2.0'}, '84': {'filled': '1.0', 'ordered': '1.0'}, '106': {'filled': '0', 'ordered': '2.0'}, '121': {'filled': '1.0', 'ordered': '1.0'}, '206': {'filled': '3.0', 'ordered': '3.0'}, '247': {'filled': '0', 'ordered': '2.0'}, '272': {'filled': '0', 'ordered': '4.0'}}",,2020-02-20,26.46
7,13,3,XXX,True,"{'115': {'filled': '0.0', 'ordered': '1.0'}, '259': {'filled': '1.0', 'ordered': '1.0'}}",,2020-02-20,1.64
8,17,3,XXX,True,"{'67': {'filled': '2.0', 'ordered': '2.0'}, '84': {'filled': '2.0', 'ordered': '2.0'}, '205': {'filled': '2.0', 'ordered': '2.0'}, '206': {'filled': '2.0', 'ordered': '2.0'}, '212': {'filled': '6.0', 'ordered': '6.0'}, '228': {'filled': '5.0', 'ordered': '5.0'}, '238': {'filled': '2.0', 'ordered': '2.0'}, '279': {'filled': '2.0', 'ordered': '2.0'}}",,2020-02-20,46.45
9,19,3,XXX,True,"{'115': {'filled': '2.0', 'ordered': '2.0'}, '163': {'filled': '1.0', 'ordered': '1.0'}}",,2020-02-20,18.89
