order_ID,product_ID,name,unit,origin,deposit,category,producer,tax_rate,net_price,bundle_size,supplier_code,amount_ordered,bundles_ordered,net_total_price
3,3,Artischockenherzen geviertelt in Lake,200g,Italien,,Konserven und Gläser,,7.0,2.99,6.0,1204060,6.0,1.0,17.94
3,24,Soja-Schnetzel grob,125g,Frankreich,,vegane Produkte,,7.0,1.06,6.0,704515,0.0,1.0,0.0
3,25,Soja-Schnetzel fein,125g,Frankreich,,vegane Produkte,,7.0,1.06,6.0,704565,0.0,1.0,0.0
3,27,Birnen-Apfel-Kraut,250g,EU,,Aufstriche – fruchtiges,,7.0,2.16,6.0,1500645,6.0,1.0,12.96
3,40,Cous-Cous,500g,Italien,,Getreideprodukte,,7.0,1.54,6.0,420230,6.0,1.0,9.24
3,59,Schwarze Bohnen in der Dose,400g,nEU,,Konserven und Gläser,,7.0,0.9,6.0,703465,6.0,1.0,5.4
3,62,Weiße Cannellini Bohnen in der Dose,400g,nEU,,Konserven und Gläser,,7.0,0.9,6.0,703485,0.0,1.0,0.0
3,66,"Frischkäse, Doppelrahm 70%",175g,EU,,Milchprodukte – Käse,,7.0,1.23,6.0,1102245,6.0,1.0,7.38
3,67,"Frischkäse Kräuter, Doppelrahm 70%",175g,EU/nEU,,Milchprodukte – Käse,,7.0,1.23,6.0,1102255,6.0,1.0,7.38
3,71,Studentenfutter,500g,EU/nEU,,Nüsse und Kerne,,7.0,5.6,6.0,810600,6.0,1.0,33.599999999999994
3,75,Kokosmilch,400ml,Sri Lanka,,Konserven und Gläser,,7.0,1.54,6.0,1906200,0.0,3.0,0.0
3,76,Original Rapunzel Müsli,2kg,EU/nEU,,Müsli und Flocken,,7.0,8.2,5.0,800160,5.0,1.0,41.0
3,82,Alpen-Amaranth Müsli Beeren,375g,EU/nEU,,Müsli und Flocken,,7.0,3.11,6.0,800490,6.0,1.0,18.66
3,84,Mond & Sterne Müsli,1kg,EU/nEU,,Müsli und Flocken,,7.0,4.8,5.0,801660,5.0,1.0,24.0
3,94,Paranusskerne,100g,"Bolivien, Plurinationaler Staat",,Nüsse und Kerne,,7.0,2.42,8.0,205150,8.0,1.0,19.36
3,106,Erdnussmus Crunchy mit Salz,500g,nEU,,Aufstriche – nussiges,,7.0,3.12,6.0,110400,0.0,1.0,0.0
3,115,Mandelmus,500g,EU,,Aufstriche – nussiges,,7.0,8.72,6.0,130150,6.0,1.0,52.32000000000001
3,117,"Oliven Kalamata violett, ohne Stein in Lake",315g,Griechenland,,Konserven und Gläser,,7.0,2.99,6.0,1202570,6.0,1.0,17.94
3,121,"Gemischte Oliven mit Kräutern, ohne Stein geölt",170g,Griechenland,,Konserven und Gläser,,7.0,3.16,6.0,1202890,6.0,1.0,18.96
3,138,"Pesto Rosso, vegan",130ml,EU/nEU,,Konserven und Gläser,,7.0,2.35,6.0,1203365,6.0,1.0,14.100000000000001
3,139,"Pesto Verde, vegan",130ml,EU/nEU,,Konserven und Gläser,,7.0,2.35,6.0,1203385,6.0,1.0,14.100000000000001
3,163,Nirwana vegane Schokolade mit Praliné-Füllung HIH,100g,EU/nEU,,Schokolade,,7.0,1.45,12.0,1430340,12.0,1.0,17.4
3,193,Rigatoni Semola,500g,Italien,,Nudeln,,7.0,0.97,12.0,503820,12.0,1.0,11.64
3,197,Spirelli Semola,2kg,Italien,,Nudeln,,7.0,3.38,3.0,503695,3.0,1.0,10.14
3,205,Tagliatelle Vollkorn,500g,Italien,,Nudeln,,7.0,0.97,12.0,501500,12.0,1.0,11.64
3,206,Buchstaben Suppennudeln Vollkorn,250g,Italien,,Nudeln,,7.0,0.76,12.0,503200,12.0,1.0,9.120000000000001
3,211,Tomaten geschält in der Dose,400g,Italien,,Konserven und Gläser,,7.0,0.87,6.0,1300560,24.0,4.0,20.88
3,212,Pizzatomaten,330g,Italien,,Konserven und Gläser,,7.0,1.22,6.0,1300650,12.0,2.0,14.64
3,215,Passata,410g,Italien,,Konserven und Gläser,,7.0,0.88,6.0,1300855,6.0,1.0,5.28
3,228,"Rosinen, Projekt",500g,Türkei,,Trockenfrüchte,,7.0,2.71,8.0,303125,8.0,1.0,21.68
3,235,Montepulciano DOC,"0,75l",Italien,,Getränke – Wein,,19.0,3.38,6.0,2002920,6.0,1.0,20.28
3,238,Nero d´Avola IGT,"0,75l",Italien,,Getränke – Wein,,19.0,3.4,6.0,2002930,6.0,1.0,20.4
3,247,"Gomasio, Sesam und Meersalz demeter, HIH",100g,Ägypten,,Gewürze,,7.0,1.8,6.0,1200850,0.0,1.0,0.0
3,254,Mandel Schmelz,165g,EU/nEU,,Aufstriche – herzhaft,,7.0,1.77,6.0,5100580,0.0,1.0,0.0
3,259,Bärlauch Streich,180g,EU/nEU,,Aufstriche – herzhaft,,7.0,1.6400000000000001,6.0,5100015,6.0,1.0,9.84
3,267,Olive Streich,180g,EU/nEU,,Aufstriche – herzhaft,,7.0,1.6400000000000001,6.0,5100100,6.0,1.0,9.84
3,268,streich`s drauf Basitom - (Basilikum / Tomate),160g,EU/nEU,,Aufstriche – herzhaft,,7.0,1.63,6.0,5100410,0.0,2.0,0.0
3,270,streich`s drauf Arrabitom - (Arrabiata / Tomate),160g,EU/nEU,,Aufstriche – herzhaft,,7.0,1.63,6.0,5100440,0.0,2.0,0.0
3,272,streich`s drauf Tomapeno - (Tomate / Jalapeno),160g,EU/nEU,,Aufstriche – herzhaft,,7.0,1.63,6.0,5100450,0.0,1.0,0.0
3,274,Tomatenmark,130g,EU/nEU,,Konserven und Gläser,,7.0,0.66,6.0,5600030,6.0,1.0,3.96
3,277,Tomatensauce Ricotta,340ml,EU/nEU,,Konserven und Gläser,,7.0,1.6600000000000001,6.0,5600160,6.0,1.0,9.96
3,279,streich`s drauf Kürbi - (Butternut-Kürbis/Ingwer),160g,EU/nEU,,Aufstriche – herzhaft,,7.0,1.63,6.0,5100460,6.0,1.0,9.78
3,280,Jasmin Spitzenreis Langkorn weiß (Thailand),500g,Thailand,,Reis,Rapunzel,7.0,1.8,6.0,406370,6.0,1.0,10.8
3,281,Rapunzel Weiße Jumbo-Bohnen (China),500g,China,,Hülsenfrüchte,,7.0,2.4,6.0,700820,6.0,1.0,14.399999999999999
4,316,demeter Dreisaatenbrot,750g Stück,"Görlitzer Brotschmiede, demeter",,Brot,,7.0,3.25,1.0,1856,5.0,5.0,16.25
4,317,demeter Hafer-Mohnlaib,600g Stück,"Görlitzer Brotschmiede, demeter",,Brot,,7.0,2.89,1.0,1859,2.0,2.0,5.78
4,318,demeter Sonnenkernbrot,750g Stück,"Görlitzer Brotschmiede, demeter",,Brot,,7.0,3.25,1.0,1858,1.0,1.0,3.25
4,322,demeter Walnussbrot,500g Stück,"Görlitzer Brotschmiede, demeter",,Brot,,7.0,3.09,1.0,1863,1.0,1.0,3.09
4,331,Bio - Milch-Rosinen-Schnecken,Stück,"Görlitzer Brotschmiede, demeter",,Brot,,7.0,0.79,1.0,1115,4.0,4.0,3.16
4,332,demeter französisches Baguette,400g Stück,"Görlitzer Brotschmiede, demeter",,Brot,,7.0,1.49,1.0,18661,1.0,1.0,1.49
4,339,"Äpfel Braeburn, I. Wahl (Krauscha)",kg,regional,,Obst,,7.0,2.35,9.0,Stadtgut Görlitz,9.0,1.0,21.150000000000002
4,362,"Kartoffeln Belana (fk), Lindenhof",kg,regional,,Gemüse,,7.0,1.45,8.0,Lindenhof,8.0,1.0,11.6
4,394,Rote Bete - Robuschka (Lindenhof),kg,regional,,Gemüse,,7.0,2.2,4.0,Lindenhof,4.0,1.0,8.8
4,504,Rauchkäse (Schnittkäse von Gut Krauscha) Stück ca 100g,"kg, in Stücken a 100g",regional,,Milchprodukte,,7.0,19.45,0.1,Lindenhof,0.2,2.0,3.89
4,507,"Camembert vom Lindenhof (für die Bestellung von 1 Stück 0,15 als Menge eintragen)","kg, in Stücken à 150 g",regional,,Milchprodukte,,7.0,19.45,0.15,Lindenhof,0.15,1.0,2.9175
4,508,"Camembert mit Kräutern der Provence vom Lindenhof (für die Bestellung von 1 Stück 0,15 als Menge eintragen)","kg, in Stücken à 120-150 g",regional,,Milchprodukte,,7.0,19.45,0.15,Lindenhof,0.3,2.0,5.835
4,607,"Walnußcreme (95 % Walnüsse, Honig, Salz)",100g Glas,regional,,Aufstriche und Marmeladen,,7.0,2.4,1.0,Lebenskunst,1.0,1.0,2.4
4,648,Apfel-Birnenmus,400g Glas,regional,,Konserven und Gläser,,7.0,1.7000000000000002,1.0,6023,2.0,2.0,3.4000000000000004
4,690,Apfelsaft naturtrüb,"0,7l Flasche",Kellterei Neubert,0.15,Getränke,,19.0,1.2,6.0,1316,6.0,1.0,7.199999999999999
4,691,"Apfelsaft ""Bag in Box"", Box á 5 Liter",Stück,regional,,Getränke,,19.0,7.9,1.0,Gut Krauscha,2.0,2.0,15.8
4,754,Eier Größe MINI,Stück,regional,,Eier,,7.0,0.21,90.0,129121,90.0,1.0,18.9
4,755,"Roastbeef, TK  (in Teilstücken von 400g bis 1kg)",kg,regional,,Fleisch & Wurst,,7.0,20.0,0.4,Gut Krauscha,2.08,4.0,41.6
4,841,"Fruchtaufstrich ""Süßkirsch""",200g Glas,,,Aufstriche und Marmeladen,Lebenskunst,7.0,2.65,1.0,Lebenskunst,1.0,1.0,2.65
8,337,Linea Natura Roggen Vollkorn Knäcke 200g,Stück,Deutschland,,Brot,,7.0,0.85,10.0,484298,10.0,1.0,8.5
8,346,"Trauben blau, kernlos",kg,Südafrika,,Obst,,7.0,4.84,4.5,117113,4.5,1.0,21.78
8,350,Halbblutorange Tarocco  Kal 4-5 ,kg,Italien,,Obst,,7.0,1.72,7.0,111400,7.0,1.0,12.04
8,355,Bananen (18kg Karton),kg,Ecuador,,Obst,,7.0,1.4100000000000001,18.0,116405,18.0,1.0,25.380000000000003
8,368,Lauch/Porree,kg,Deutschland,,Gemüse,,7.0,2.88,5.0,124505,5.0,1.0,14.399999999999999
8,370,Cherry-Tomatine Marzanino 250g-Schale,250g Schale,Italien,,Gemüse,,7.0,1.52,6.0,127159,6.0,1.0,9.120000000000001
8,371,Cime di Rapa/ Stängelkohl,kg,Italien,,Gemüse,,7.0,2.49,5.0,125368,5.0,1.0,12.450000000000001
8,373,"Möhren gewaschen, Bioland",kg,Deutschland,,Gemüse,,7.0,1.26,10.0,120610,10.0,1.0,12.6
8,380,"Feldsalat, lose (gibts weiter unten auch von Krauscha)",kg,Frankreich,,Gemüse,,7.0,10.45,1.0,125380,1.0,1.0,10.45
8,383,"Spinat, lose",kg,Frankreich,,Gemüse,,7.0,3.99,5.0,125610,5.0,1.0,19.950000000000003
8,387,Kohlrabi,Stück,Italien,,Gemüse,,7.0,0.79,14.0,122235,14.0,1.0,11.06
8,400,"Wirsing, 8-10 Stück pro Kiste",Stück,Italien,,Gemüse,,7.0,1.1400000000000001,6.0,126200,6.0,1.0,6.840000000000001
8,401,Broccoli,kg,Italien,,Gemüse,,7.0,1.72,5.0,126425,5.0,1.0,8.6
8,402,Blumenkohl,Stück,Italien,,Gemüse,,7.0,1.34,8.0,126320,8.0,1.0,10.72
8,412,Avocado Hass ,Stück,Spanien,,Gemüse,,7.0,1.08,20.0,116120,20.0,1.0,21.6
8,413,"Salatgurken, 1 Kiste: 12 Stück",Stück,Spanien,,Gemüse,,7.0,1.05,12.0,127365,12.0,1.0,12.600000000000001
8,414,Steinchampignons - Naturland,kg,Deutschland,,Gemüse,,7.0,5.69,1.0,128154,2.0,2.0,11.38
8,427,"TERRA Vollmilch 3,8 %",1l Karton,Deutschland,,Milchprodukte,,7.0,0.91,10.0,130027,30.0,3.0,27.3
8,428,"Ökodorf Brodowin, demeter Vollmilch 3,7%",1l Glasflasche,Deutschland,0.15,Milchprodukte,,7.0,1.22,6.0,130014,0.0,1.0,0.0
